Vendor Name,IMPA,Vendor Product Name,Vendor Product Code,CATEGORY,Vendor Price
RUBAFLEX B.V.,330837,"Fog nozzle brass Machino female 1.5"", 3 position",bss1.5mas,,36.93
RUBAFLEX B.V.,330838,"Fog nozzle Machino brass 2"" female - 3 position",bss2mas,,65
RUBAFLEX B.V.,330839,"Fog nozzle Machino brass 2.5"" female - 3 position",bss2.5mas,,66.5
RUBAFLEX B.V.,330840,ISC box 210 x 220 x 200mm For ISC,iscbox,,29.5
RUBAFLEX B.V.,330841,"International Shore Connection 2"" male BSP brass",isc050,,48.75
RUBAFLEX B.V.,330842,"Fog nozzle 3 position brass Storz 2"" with handle",#60000922,,103.46
RUBAFLEX B.V.,330843,"Fog nozzle 3 position brass Storz 2-1/2"" with handle",#60000923,,117.5
RUBAFLEX B.V.,330845,Nakajima rubber ring For coupling lug 61,nak61ring,,0.15
RUBAFLEX B.V.,330846,Nakajima rubber ring For coupling lug 72,nak72ring,,0.2
RUBAFLEX B.V.,330847,Nakajima rubber ring For coupling lug 91,nak91ring,,0.23
RUBAFLEX B.V.,330848,Washer rubber for ansi pin 50 x 40 x 3mm,usa38ring,,0.25
RUBAFLEX B.V.,330849,Washer rubber for ansi pin 65 x 50 x 3mm,usa50ring,,0.3
RUBAFLEX B.V.,330850,Washer rubber for ansi pin 78 x 59 x 3mm,usa63ring,,0.4
RUBAFLEX B.V.,330851,Nakajima coupling brass 38mm hose - lug 61mm,nak3861,,7.25
RUBAFLEX B.V.,330852,Nakajima coupling brass 50mm hose - lug 72mm,nak5072,,9
RUBAFLEX B.V.,330853,Nakajima coupling brass 63mm hose - lug 91mm,nak6391,,14
RUBAFLEX B.V.,330855,Machino coupling brass 38mm hose - male/female 38mm,mas3838,,14.15
RUBAFLEX B.V.,330856,Machino coupling brass 50mm hose - male/female 50mm,mas5050,,22.5
RUBAFLEX B.V.,330857,Machino coupling brass 63mm hose - male/female 63mm,mas6363,,54.55
RUBAFLEX B.V.,330859,John Morris coupling brass 38mm hose -male/female 63mm,mor3863,,22
RUBAFLEX B.V.,330860,John Morris coupling brass 50mm hose -male/female 63mm,mor5063,,39.55
RUBAFLEX B.V.,330861,John Morris coupling brass 63mm hose -male/female 63mm,mor6363,,47.44
RUBAFLEX B.V.,330862,Nor coupling brass las 3 38mm hose - lug 50mm,nok3850,,55
RUBAFLEX B.V.,330863,Nor coupling brass las 2 50mm hose - lug 66mm,nok5066,,22.5
RUBAFLEX B.V.,330864,Nor coupling brass las 1 63mm hose - lug 83mm,nok6383,,37.5
RUBAFLEX B.V.,330865,Hose coupling ansi pin 38mm hose x 38mm male/female,usa3838,,12.55
RUBAFLEX B.V.,330866,Hose coupling ansi pin 63mm hose x 63mm male/female,usa6363,,31.66
RUBAFLEX B.V.,330867,Hose coupling ansi pin 38mm hose x 38mm male/female,usa3838,,12.55
